FoodID,FoodName,Alcohol,Carbohydrates,Calcium,Cholesterol,Calories,Kilojules,Fattotal,Glucose,Iron,Lactose,Magnesium,Potassium,Selenium,Sodium,Starchtotal,Sugarstotal,Water,Zinc
A184,"Bread roll, wholegrain, prepacked, composite, upper North Island",0,46.98,76.0,0,255.01,1080.0,3.05,0,1.4,0,29.5,150,5.7,420,45.84,1.14,36.48,1.35
A185,"Bread roll, wholegrain, prepacked, composite,  lower North Island",0,46.98,76.0,0,254.92,1079.63,3.04,0,1.4,0,29.5,150,7.33,420,45.84,1.14,36.48,1.35
A186,"Bread roll, wholegrain, prepacked, composite, South Island",0,46.98,76.0,0,254.92,1079.63,3.04,0,1.4,0,29.5,150,2.97,420,45.84,1.14,36.48,1.35
A19,"Bread, crumb, white, dried",0,70.59,48.0,0,345.74,1467.04,1.9,0,1.8,0,34,150,1.4,760,68.1,2.49,9.7,0.7
A20,"Bread, white, sliced, fried",0,44.2,37.0,0,498.06,2076.52,32.2,0,0.9,0,21,100,4.1,550,41.2,3.0,7.4,0.5
A206,"Bread roll, currant, commercial, composite",0,57.29,74.5,12,271.82,1153.46,1.43,7.3,1.67,0,27.7,202,2.28,373,39.24,18.05,34.06,1.03
A21,"Bread, white, toasted",0,56.8,44.0,0,265.65,1128.13,0.7,0,1.1,0,29,177,4.9,833,54.4,2.4,28.8,0.8
A211,"Bread, mixed grain & seed, sliced, prepacked, Soy & Linseed, Vogel's & Burgen",0,30.36,120.33,0,238.58,1005.08,7.12,0,1.81,0.6,55.23,291,4.13,411.67,26.6,3.76,43.18,1.31
A212,"Bread, mixed grain & seed, sliced, prepacked, Sunflower & Barley, Vogel's & Burgen, composite",0,35.13,100.07,0,239.3,1008.95,6.48,0,1.6,0.85,41.07,210,4.93,370.33,32.4,2.72,43.01,1.2
A214,"Bread, currant, sliced, prepacked, composite",0,56.08,126.33,12,272.5,1156.4,1.39,7.84,2.45,0,31.73,317.33,3.57,343.67,37.66,18.42,27.23,1.69
A215,"Biscuit, chocolate thin, composite",0,65.35,56.0,4.53,466.89,1959.34,19.96,0.7,2.1,3,34,220,0.89,350,33.95,31.4,2.67,0.95
A216,"Biscuit, multi-layer cream filled, chocolate coated",0,67.3,92.0,16.8,493.06,2067.57,22.35,0.5,2.0,4.9,38,230,3.1,170,23.2,44.1,1.73,0.76
